DATE,DGS1,DGS10
1962-01-01,3.2795454545454545,4.0831818181818182
1962-02-01,3.2838888888888889,4.0394444444444444
1962-03-01,3.0581818181818182,3.9304545454545455
1962-04-01,2.9875000000000000,3.8430000000000000
1962-05-01,3.0259090909090909,3.8736363636363636
1962-06-01,3.0280952380952381,3.9090476190476190
1962-07-01,3.2904761904761905,4.0142857142857143
1962-08-01,3.1991304347826087,3.9756521739130435
1962-09-01,3.0605263157894737,3.9789473684210526
1962-10-01,2.9750000000000000,3.9254545454545455
1962-11-01,3.0021052631578947,3.9157894736842105
1962-12-01,3.0060000000000000,3.8645000000000000
1963-01-01,3.0386363636363636,3.8336363636363636
1963-02-01,3.0105555555555556,3.9211111111111111
1963-03-01,3.0314285714285714,3.9285714285714286
1963-04-01,3.1147619047619048,3.9709523809523810
1963-05-01,3.1172727272727273,3.9300000000000000
1963-06-01,3.1970000000000000,3.9930000000000000
1963-07-01,3.4750000000000000,4.0204545454545455
1963-08-01,3.5336363636363636,4.0022727272727273
1963-09-01,3.5740000000000000,4.0775000000000000
1963-10-01,3.6395652173913043,4.1060869565217391
1963-11-01,3.7405882352941176,4.1217647058823529
1963-12-01,3.8114285714285714,4.1285714285714286
1964-01-01,3.7922727272727273,4.1668181818181818
1964-02-01,3.7822222222222222,4.1455555555555556
1964-03-01,3.9128571428571429,4.2195238095238095
1964-04-01,3.9100000000000000,4.2322727272727273
1964-05-01,3.8390000000000000,4.2000000000000000
1964-06-01,3.8331818181818182,4.1700000000000000
1964-07-01,3.7150000000000000,4.1859090909090909
1964-08-01,3.7438095238095238,4.1938095238095238
1964-09-01,3.8404761904761905,4.2038095238095238
1964-10-01,3.8638095238095238,4.1880952380952381
1964-11-01,3.9077777777777778,4.1527777777777778
1964-12-01,4.0218181818181818,4.1795454545454545
1965-01-01,3.9420000000000000,4.1895000000000000
1965-02-01,4.0272222222222222,4.2111111111111111
1965-03-01,4.0634782608695652,4.2104347826086957
1965-04-01,4.0366666666666667,4.2038095238095238
1965-05-01,4.0305000000000000,4.2115000000000000
1965-06-01,3.9895454545454545,4.2131818181818182
1965-07-01,3.9847619047619048,4.2047619047619048
1965-08-01,4.0686363636363636,4.2522727272727273
1965-09-01,4.2047619047619048,4.2904761904761905
1965-10-01,4.2980000000000000,4.3495000000000000
1965-11-01,4.3747368421052632,4.4489473684210526
1965-12-01,4.7172727272727273,4.6154545454545455
1966-01-01,4.8766666666666667,4.6123809523809524
1966-02-01,4.9421052631578947,4.8321052631578947
1966-03-01,4.9704347826086957,4.8734782608695652
1966-04-01,4.8995000000000000,4.7500000000000000
1966-05-01,4.9347619047619048,4.7785714285714286
1966-06-01,4.9654545454545455,4.8145454545454545
1966-07-01,5.1725000000000000,5.0180000000000000
1966-08-01,5.5443478260869565,5.2243478260869565
1966-09-01,5.8219047619047619,5.1823809523809524
1966-10-01,5.5795000000000000,5.0115000000000000
1966-11-01,5.5421052631578947,5.1552631578947368
1966-12-01,5.2047619047619048,4.8428571428571429
1967-01-01,4.7461904761904762,4.5790476190476190
1967-02-01,4.7133333333333333,4.6266666666666667
1967-03-01,4.3509090909090909,4.5418181818181818
1967-04-01,4.1050000000000000,4.5935000000000000
1967-05-01,4.1545454545454545,4.8477272727272727
1967-06-01,4.4759090909090909,5.0227272727272727
1967-07-01,5.0090000000000000,5.1590000000000000
1967-08-01,5.1308695652173913,5.2756521739130435
1967-09-01,5.2415000000000000,5.3020000000000000
1967-10-01,5.3747619047619048,5.4809523809523810
1967-11-01,5.6075000000000000,5.7535000000000000
1967-12-01,5.7095000000000000,5.6990000000000000
1968-01-01,5.4286363636363636,5.5286363636363636
1968-02-01,5.4147368421052632,5.5636842105263158
1968-03-01,5.5814285714285714,5.7400000000000000
1968-04-01,5.7105000000000000,5.6385000000000000
1968-05-01,6.1422727272727273,5.8695454545454545
1968-06-01,5.9825000000000000,5.7180000000000000
1968-07-01,5.6509090909090909,5.4954545454545455
1968-08-01,5.4281818181818182,5.4204545454545455
1968-09-01,5.4450000000000000,5.4600000000000000
1968-10-01,5.5704347826086957,5.5826086956521739
1968-11-01,5.7461111111111111,5.6961111111111111
1968-12-01,6.1933333333333333,6.0319047619047619
